userName,at,content
Pengguna Google,2025-04-13 19:57:48,waifuuuu😋😋😋😋
Pengguna Google,2025-04-13 19:47:16,"asik banget plis, udah 5 tahun main di genshin!. walau sempat pensi karena down akun pertama hilang tapi akhirnya semangat bikin akun baru buat ketemu husbu bangkit lagi. semoga kedepannya banyak bansos deh! semangat mihoyoooo"
Pengguna Google,2025-04-13 19:13:48,good
Pengguna Google,2025-04-13 19:10:11,bagus btw i love furina and mamah ei... kurangnya ya bansosnya ajasih 😹
Pengguna Google,2025-04-13 18:39:00,"saya pemain genshin sudah cukup lama tapi sekarang tidak memainkan nya lagi karna game nya semangkin hari semangkin berat, #genshinlite itu adalah pesan saya dahulu, walau blm ada genshin lite tapi mihoyo memberikan alternatif lain yaitu genshin cloud. terimakasih mihoyo atas pengertian nya, sekarang saya sudah mempunyai device yg bisa main genshin dengan lancar Minggu 13 April 2025: saya memutuskan pensi Genshin Impact Terimakasih genshin impact."
Pengguna Google,2025-04-13 18:22:01,sekalian render ping nya di benerin. masa pas mau lawan npc malah jump ping 999
Pengguna Google,2025-04-13 18:04:09,bagus tapi hampir 40gb aduhai tapi gpp
Pengguna Google,2025-04-13 17:36:39,"Game story yang bagus banget, kalian harus mainin sih, Musiknya juga nenangin parah"
Pengguna Google,2025-04-13 17:26:55,game elek👎
Pengguna Google,2025-04-13 17:22:08,game forno
Pengguna Google,2025-04-13 16:54:35,terlalu besar data dalamnya sampai 32gban
Pengguna Google,2025-04-13 16:53:26,👌
Pengguna Google,2025-04-13 16:46:27,"My account suddenly can't be found, please help me 😭😭"
Pengguna Google,2025-04-13 16:42:07,Game nya bagus. Saya dapet suami dari sini . Terimakasih banyak ya developer Genshin Impact 😁
Pengguna Google,2025-04-13 16:40:23,"Saya sudah menjadi pemain game ini sejak 2020 dan tahun ini saya memutuskan untuk melakukan uninstall. Sejak region Fontaine hingga ke Natlan sangat sulit untuk saya menikmati quest yang ada. Sedikit sedih karena saya melakukannya saat ada banyak event tapi saya telah memikirkannya selama 3 hari dan meninggalkan game ini. Akan kembali saat Capitano dan Dainsleif resmi di rilis, sayonara 🫶"
Pengguna Google,2025-04-13 16:38:18,"keren banget, tapi game sekeren ini masih belum bisa bikin aku move on dari dia yang sekarang mulai asing 🥺😢"
Pengguna Google,2025-04-13 16:35:09,asik
Pengguna Google,2025-04-13 16:26:36,"Dari segi story biasa maupun story archon sudah bagus,wuestnya juga lumayan eventnya juga sudah lumayan,salah satu game open word dengan map yang sangat luas yang bagus, pembawaan cerita bagus desain karakternya pun bagus mantap dah."
Pengguna Google,2025-04-13 16:25:29,game dontol
Pengguna Google,2025-04-13 15:50:35,gachanya mahal
Pengguna Google,2025-04-13 15:19:40,waw keren sekali mapnya luas keren
Pengguna Google,2025-04-13 15:19:28,genshin lagi down kah servernya? kenapa hari ini aku gak bisa login?
Pengguna Google,2025-04-13 15:14:52,"Selama 5 tahun mainkan game ini,ttp masih ok grafiknya."
Pengguna Google,2025-04-13 14:48:56,ok
Pengguna Google,2025-04-13 14:07:41,"yg bener aja,, masak gak ada fitur skipnya. Padahal questnya kaku bener kwkwk. kalau masih ingin pelayer menikmati story maka tingkatkan lagi detail detail seperti ekspresi emosi karakter agar tidak kaku banget. ahh dahlah"
Pengguna Google,2025-04-13 14:07:33,Gamenya seru
Pengguna Google,2025-04-13 13:54:06,"buat developer tolong map-nya kayak dulu aja yang nuansa alamnya itu asri kayak mondstadt sama liyue,apalah natlan laharnya kek jeruk peras gitu"
Pengguna Google,2025-04-13 12:50:16,keren😁
Pengguna Google,2025-04-13 12:41:27,gem nya bagus geravik nya engga maen-maen
Pengguna Google,2025-04-13 12:17:46,Keren dan mantappo
Pengguna Google,2025-04-13 12:05:15,makasii ya udah nemenin hari-hari akuu
Pengguna Google,2025-04-13 12:05:06,game bagus
Pengguna Google,2025-04-13 11:43:33,nice
Pengguna Google,2025-04-13 11:23:09,"Game nya bagus yang ingin tahu ukurannya 34 GB standartnya(berat), dari alur dan animasi nya bagus ,pesan untuk mihoyo, orang orang menginginkan fitur skip dan masalah gacha dan perolehan artefak yang bagus ,lalu apa yang anda akan lakukan"
Pengguna Google,2025-04-13 10:54:11,bagus bgt pake poco f6 rata kanan
Pengguna Google,2025-04-13 10:13:21,lumayan lah
Pengguna Google,2025-04-13 10:01:48,boleh
Pengguna Google,2025-04-13 09:44:50,grafiknya bgs tpi untuk download nya lama bgt saran saya tidak ada lagi download data saya tidak bisa bermain karena stuck di download data/update
Pengguna Google,2025-04-13 08:29:33,kikir
Pengguna Google,2025-04-13 07:03:06,DATA PENYIMPANAN TIDAK AMAN🥺🥺
Pengguna Google,2025-04-13 07:01:11,game kelazz (btw bagi primogem dong Dev)
Pengguna Google,2025-04-13 05:25:11,grafik mantap
Pengguna Google,2025-04-13 04:38:03,Mana tombol skip story nya
Pengguna Google,2025-04-13 03:50:32,dev nya pelit bet ngentid
Pengguna Google,2025-04-13 03:20:11,nice
Pengguna Google,2025-04-13 02:45:25,"Boring . Quest terlalu panjang , untuk quest yang biasa saja memakan waktu 1-2 Jam untuk bisa selesai, Untuk quest yang berhadiah besar memakan waktu 3-4 Jam. Tolong lah buat quest jangan terlalu lama, kita tidak punya banyak waktu hanya untuk menyelesaikan quest yang obrolan nya bertele-tele dan sangat memakan waktu!. Lebih baik jangka waktu untuk quest dipersingkat saja daripada jangka quest waktu panjang tapi memakan waktu yang begitu lama untuk bisa selesai !."
Pengguna Google,2025-04-13 02:15:03,"tolong bikin game yang lebih variatif lagi, dengan misi misi yang fresh dan tidak boring serta jika mau memasukkan dialog tolong dibuat semenarik mungkin agar pemain bisa enjoy terhadap dialog nya. terakhir saran saya mending bikin game nya berbayar di awal tapi di dalam jangan dibuat sulit untuk mendapatkan reward, gacha dll sekian terimakasih 🙏"
Pengguna Google,2025-04-13 00:57:56,Saya sangat puas dengan gameplay dan grafis Genshin Impact. Karakter yang unik dan kemampuan yang beragam membuat game ini sangat menyenangkan!
Pengguna Google,2025-04-13 00:18:53,grafik nya is sooooo very very good mantap👍👍👍
Pengguna Google,2025-04-13 00:16:02,"dialog mulu,,."
Pengguna Google,2025-04-12 23:46:27,mantap
Pengguna Google,2025-04-12 22:28:57,suka.. cuma ke susahan aja cari artefak nya yah tapi bagus kok
Pengguna Google,2025-04-12 22:06:38,kikir banget sama fandom aneh
Pengguna Google,2025-04-12 21:46:42,"Please increase the rating for the request event a little, because the 5 star character rating is too low, even with 5 requests as promised, it is still not certain to get it."
Pengguna Google,2025-04-12 21:18:25,"game power creep, game Pay to win parah, untung meraup miliaran triliunan tapi mekanik kayak sampah ga pernah berubah... kasian karakter lama cuma jadi pajangan jualan waifu... ni game kikirnya ga bakalan bisa hilang njir.. streotipe kikirnya ga akan hilang hanya dengan bansos tapi gameplay nya juga..."
Pengguna Google,2025-04-12 20:49:39,game 4no
Pengguna Google,2025-04-12 19:34:45,tolong dengarkan keluhan player yaa °•°
Pengguna Google,2025-04-12 19:20:13,game nya makin hari boring combat bisa aja explore map yang susha
Pengguna Google,2025-04-12 18:37:47,"tidak ada fitur Wanderer telanjang, ga bisa buat anak sama Wanderer 🙏 tolong di buat fitur tersebut 🙏"
Pengguna Google,2025-04-12 18:30:41,tiba tiba gk bisa di buka
Pengguna Google,2025-04-12 18:27:13,suka bngt
Pengguna Google,2025-04-12 18:09:32,minus nya ni game gda tanda skip dan fitur buat anak
Pengguna Google,2025-04-12 17:58:04,"halo developer can you put for skip the scene ,we only want to play not for see the scene or the story please"
Pengguna Google,2025-04-12 17:57:01,game yang relaxing
Pengguna Google,2025-04-12 17:39:08,GG sih petualangan seru
Pengguna Google,2025-04-12 17:04:23,ini sangat seru
Pengguna Google,2025-04-12 16:49:12,ya game ya emang bagus tapi download data nya luar biasa gb nya tolong di kurangi dung gb nya
Pengguna Google,2025-04-12 16:44:03,shadernya kelamaan
Pengguna Google,2025-04-12 16:24:10,Mending dapet 10 fate daripada engga dapet
Pengguna Google,2025-04-12 15:41:55,"GAMENYA ASIK BGT!! avanya bagus-bagus! apalagi furina, dia favorit aku selamanya :3"
Pengguna Google,2025-04-12 15:27:32,bagus
Pengguna Google,2025-04-12 15:07:39,akhirnya saya bisa memainkan game ini juga 😀
Pengguna Google,2025-04-12 14:41:04,gacha ampas. game open world atau game detektif? lu suruh cari benda lu sembunyiin congek. bukan have fun malah stress main ni game
Pengguna Google,2025-04-12 14:24:59,sumpah lama banget masuknya cape-cape lama banget Berjam jam 😩
Pengguna Google,2025-04-12 13:10:09,Approve
Pengguna Google,2025-04-12 13:01:20,game nya keren sekelas game gratis
Pengguna Google,2025-04-12 12:54:06,Gamenya bagus
Pengguna Google,2025-04-12 12:53:09,game seru
Pengguna Google,2025-04-12 12:37:27,terbaik
Pengguna Google,2025-04-12 12:15:26,"akunku ke reset padahal gak di apa apain, mana progresnya udah jauh lagi"
Pengguna Google,2025-04-12 11:57:53,mantap
Pengguna Google,2025-04-12 11:43:02,"bagus, karakter cowonya cogam"
Pengguna Google,2025-04-12 11:41:29,dapet tighnari di pity 91
Pengguna Google,2025-04-12 11:25:45,saran saya adalah membanyakkan Bansos untuk player Free to play
Pengguna Google,2025-04-12 10:53:46,game apaan nih buat masuk aja susah banget harus nunggu ber jam jam pas udh mau selesai malah ngulang dari awal mana yg jalan koutanya udh 2 gb lagi ngabisin kouta aja udh gitu gk bisa di mainin lagi game apaan sih ini gk jelas
Pengguna Google,2025-04-12 10:28:34,Slow net.
Pengguna Google,2025-04-12 10:03:12,"tolong ganti penggunaan nama harut dan marut , karena di anggap menghina islam. Saya sebagai seorang muslim merasa tidak nyaman dan memutuskan untuk uninstall game ini."
Pengguna Google,2025-04-12 09:08:55,"settingan controllernya kaku bet, ngga kayak game sebelah enak, lagi lagi dibikin kecewa sama fitur yang ""seadanya"""
Pengguna Google,2025-04-12 07:12:00,bagus
Pengguna Google,2025-04-12 06:46:32,"oke, menurut gw lumayan dibanding wuwa wkwk"
Pengguna Google,2025-04-12 05:04:13,udah bosen main ini game
Pengguna Google,2025-04-12 04:47:07,game kikir
Pengguna Google,2025-04-12 01:10:12,kalo masih gk mau dengerin saran player tunggu aja sampe game nya eos
Pengguna Google,2025-04-12 00:43:57,good apps
Pengguna Google,2025-04-11 23:43:23,"bagus, dari segi grafik bagus, gameplay asik, dan yang lain tuh udah gada masalah, tapi ini bisa nggak, tiap character jangan banyak banyak dialog, tiap character banyak bacot soalnya, sama ini lagi, story questnya kelamaan, orang pengen dapet primo 20 aja harus 20 menit ngerjain story quest, orang kalo kayak gitu lama lama muak."
Pengguna Google,2025-04-11 23:10:11,"akunku kenapa di ulang dari awal lagi?.... aku tidak main beberapa hari,ketika bermain lagi kenapa akunku di ulang dari awal lagi?... kembalikan akunku woi.... susah payah aku naikkan level dunia dan karakter selama ini bisa hilang begitu saja... ANJIRRR"
Pengguna Google,2025-04-11 22:39:13,tolong ikuti update adik nya si haeser
Pengguna Google,2025-04-11 22:27:41,good game
Pengguna Google,2025-04-11 22:10:57,"Bagus sih ceritanya, tapi design karakternya di tingkatkan lagi dan di sesuaikan dengan tema region nya."
Pengguna Google,2025-04-11 21:19:15,"game nya bagus dari segi grafik, world building dll, tp sayang sekali developer jarang mendengarkan fansnya, seperti Adain fitur skip story world quest, tingkatkan farming artefak agar tidak ampas, Adain fitur craft di profile game, dan tingkatkan lagi hadiah primo dari quest supaya lebih ramah untuk f2p, masa quest panjang tp hadiah primo tidak sepadan dengan menunggu dialog yg terlalu panjang, apalgi animasi kaku waktu quest Inazuma bulan lalu,game pendapatan besar tp selalu jadi anak tiri."
Pengguna Google,2025-04-11 21:15:47,game nya bagus 👍
Pengguna Google,2025-04-11 20:51:43,wah sangat seru sekali game ini
Pengguna Google,2025-04-11 20:13:33,"Game nya bagus,cuma setiap misi pasti bicara dulu sana sini,jadi banyak habisin waktu,TPI kalau quest archon tidak menjadi masalah 😌"
Pengguna Google,2025-04-11 20:10:20,ngadowlloadna datana Lila ah rudet
Pengguna Google,2025-04-11 20:03:59,"Mau gimana pun kekurangan ini game, kayaknya bakal tetap jadi game gacha favorit gw"
Pengguna Google,2025-04-11 18:28:41,Developernya Batu
Pengguna Google,2025-04-11 18:22:57,seruu mainn nyaa ga bosenn pokoknya seruu
Pengguna Google,2025-04-11 17:27:36,"good,but the character design just look kinda boring but anyway the strategi,meta character, elemental burst and other ITS SO AMAZING!!!!"
Pengguna Google,2025-04-11 16:46:40,game kikir
Pengguna Google,2025-04-11 16:38:25,plis lah bug nya itu di ilangin masa mau login gak bisa kena TMR mulu
Pengguna Google,2025-04-11 15:39:38,Gilaaaaaa ngunduh datanya sampe 28k ? lamaaaa Berjam jam woii.
Pengguna Google,2025-04-11 14:58:43,"gabisa masuk ke apk, di notif nya kata nya ada 'bug'"
Pengguna Google,2025-04-11 14:50:57,Jarang kalah rare off🥰
Pengguna Google,2025-04-11 14:42:03,mantaf
Pengguna Google,2025-04-11 14:35:00,"GAME INI SANGAT BAGUSSS ADIK ADIK, AYO SEGERA DOWNLOAD GAME INII SEKARANG JUGAAAA. BISMILLAH XIAOOOO"
Pengguna Google,2025-04-11 13:50:34,panjang umur hoyovers
Pengguna Google,2025-04-11 13:49:33,seru banget alur ceritanya
Pengguna Google,2025-04-11 13:49:32,"kembalikan login seperti dulu saya ga bisa login LG lewat Facebook karna di suruh minta verif email padahal akun saya ga pake email cuma pake FB, mana udh banyak top up disana pas begini kalian diam aja, tolong bantuan nya ini juga karna kalian yg bikin ribet login nya lawak"
Pengguna Google,2025-04-11 13:46:01,"Makin lama makin repetitif, story kebanyakan ngobrol yang random ga ngefek ke alurnya yg signifikan"
Pengguna Google,2025-04-11 13:33:53,Gw baru main di 2025 dan dr segi cerita sangat seru dan banyak plot tak terduga dan grafis juga sangat bagus. tp klo bisa pas gacha Character jangan pelit2 ya😁
Pengguna Google,2025-04-11 13:05:34,Mantap
Pengguna Google,2025-04-11 13:05:12,"masih aja kaga ada perubahan dari QoL... udah 6 tahun berjalan masih gitu-gitu aja fitur menu dll.. domain masih di jadwalin, lari aja masih makan stamina... beda Ama yang sebelah yang umurnya baru 1 tahun tapi QoL nya banyak. lu kalo bikin map gede harus ada fitur buat bantu pemain nya dong! masa kudu gacha karakter khusus region nya dulu baru bisa mudah eksplorasi nya 🤦🏻‍♂️ gila gila. parah nih game perusahan miliaran tapi males bikin fitur QoL terbaru, dan masih aja meras dompet pemain nya!"
Pengguna Google,2025-04-11 13:03:42,gamenya bagus sekali
Pengguna Google,2025-04-11 12:47:18,"genshin pelit, gak giveaway primogem, gw kira ultah bakal kasih primo, bintang one😤😤🤫🧏‍♀️"
Pengguna Google,2025-04-11 12:09:54,loadingnya lamaaaaaaaaaaa bet asli
Pengguna Google,2025-04-11 11:53:52,streessss tapi seru
Pengguna Google,2025-04-11 11:36:52,game ampas banyak yaping nya
Pengguna Google,2025-04-11 11:11:50,petualangan nya menarik dan grafik yg memukau
Pengguna Google,2025-04-11 09:43:12,Ok
Pengguna Google,2025-04-11 07:55:50,lumayan
Pengguna Google,2025-04-11 07:13:40,saran chara yang op buat pemula puhh
Pengguna Google,2025-04-11 05:04:20,game terbaik
Pengguna Google,2025-04-11 04:53:11,bad game developement
Pengguna Google,2025-04-11 00:40:38,"butuh temen Mabar 🗿💔 (bagus kok gamenya, minusnya itu aja)"
Pengguna Google,2025-04-10 23:59:47,kikir
Pengguna Google,2025-04-10 22:50:26,"ceritanya lumayan bagus, dan grafiknya juga bagus."
Pengguna Google,2025-04-10 22:45:58,game nya bagus tapi terlalu kikir(pelit)
Pengguna Google,2025-04-10 22:23:03,ini kenapa dah? saya lagi nyelesain quest tiba tiba disconnect sendiri? padahal sinyal aman aman aja. heran dah
Pengguna Google,2025-04-10 21:52:41,"VERY GOOD PLEASE DON'T WASTE WAITING FOR A LONG LOADING TIME, IT IS REALLY LONG IN ACCORDANCE WITH EXPECTATIONS 🤩🤩"
Pengguna Google,2025-04-10 21:32:14,sangat baik
Pengguna Google,2025-04-10 20:49:14,keren saya sangat suka terutama genre RPG anime
Pengguna Google,2025-04-10 18:56:00,"gimana nih. akun saya hilang setelah update. saya sudah mencoba dengan akun google yang sama tapi harus buat akun baru 😭😭😭. tolong, aku pengen Akun lamaku balik 😡😭😭😭"
Pengguna Google,2025-04-10 18:53:57,Genshin dancuk. Akunku hilang setelah update.. Padahal udah nabung paket monthly 3 bulan buat gatcha..
Pengguna Google,2025-04-10 18:43:25,Great Game
Pengguna Google,2025-04-10 17:49:51,improvisasi yg lumayan bagus untuk bagian story
Pengguna Google,2025-04-10 17:32:33,if capitano is playable in 6.x i won't play genshin anymore.unless signora is also playable i will continue to play genshin but if capitano is playable and signora is not then i will be very disappointed with you hoyo
Pengguna Google,2025-04-10 17:24:32,bagus
Pengguna Google,2025-04-10 16:53:25,Kecewa
Pengguna Google,2025-04-10 16:19:20,developer terlalu kikir 4 tahun main dan vibenya flat cuma menarik di bagian final chap story sama beberapa lokasi map
Pengguna Google,2025-04-10 15:58:35,Seruu pake bgt
Pengguna Google,2025-04-10 15:41:13,sukaaakk (need more primos TwT)
Pengguna Google,2025-04-10 15:40:22,"Wahhh, story quest tambah seru"
Pengguna Google,2025-04-10 15:03:37,"udah game kikir, sistem gacha sistem artefak selalu ampas, akhir akhir ni jadi kaya game girlfriend simulator, kebanyakan fanservice, kasi char laki lah bosen char baru cewe terus, cringe amat"
Pengguna Google,2025-04-10 14:55:13,klo bansos brkurang gw turunin ratingnya
Pengguna Google,2025-04-10 14:00:33,walupun sering kalah rate off tapi aku tetep menghargai game ini😋
Pengguna Google,2025-04-10 13:48:13,kikir
Pengguna Google,2025-04-10 13:34:47,"CAPITANO GA PLAYABLE, RILISNYA CHAR CEWE SEMUA DIKIRA PLAYER CUMA COWO PIKIR LAH PLAYER CEWE. GA SEMUA PLAYER CEWE PENGEN PULL META, ITS A GOONER IMPACT ATP. SO MUCH WAIFU. AND UR TELLING ME WE LOSE CAPITANO FOR A STRAWBERRY COW AND A 'CHEF'??????"
Pengguna Google,2025-04-10 13:28:15,kerana seru dan asik
Pengguna Google,2025-04-10 13:10:34,tolong perbaiki masalah jaringan selalu berwarna merah padahal wifi bagus
Pengguna Google,2025-04-10 12:53:07,bagus bangetttttt
Pengguna Google,2025-04-10 11:00:33,game sangat2 bagus dan grafik juga mendukung tetapi juga story dari game nya terlalu monoton kaku dan terlalu banyak dialog yg tidak terlalu berguna dan semoga dev nya mendengar kan keluhan Player dan jangan selalu memikir kan uang tetapi juga memikirkan Player nya itu sendiri.
Pengguna Google,2025-04-10 10:57:07,kalau ada fitur skip dialog saya kasih 5 bintang
Pengguna Google,2025-04-10 09:00:01,gada tombol skip ga kek sebelah mana lari pake stamina lagi padahal disebelah lari pake stamina pas lagi gelud doang
Pengguna Google,2025-04-10 08:19:22,ah sudahlah game hama pity 80+ dapet mona
Pengguna Google,2025-04-10 07:59:49,"game kebanyakan cerita ga bisa d skip buang2 waktu ...45menit lbh cuma di paksa nonton NPC ngobrol ga jelas,mana ceritanya membosankan sebenarnya ga begitu berguna untuk d lihat !!!!"
Pengguna Google,2025-04-10 07:36:57,kalah rate off hard pity mulu
Pengguna Google,2025-04-10 06:52:45,"mantap, sering"" kasih karakter B5🤭"
Pengguna Google,2025-04-10 06:48:24,game anjai
Pengguna Google,2025-04-10 06:32:04,"saya sangat suka ni game,wlaupun HP tidak mendukung saya tetap memainkan nya"
Pengguna Google,2025-04-10 04:48:09,ak suka semuanya tentang genshin apalagi rukhadevatta
Pengguna Google,2025-04-10 03:05:14,game nya seru wajib maen
Pengguna Google,2025-04-10 01:49:04,🤞
Pengguna Google,2025-04-10 00:54:53,"pengembangan yang baik. untuk saran, tolong permudah untuk mendapatkan elixir kedepannya, karena artefak gacha disini itu sangat random bahkan bisa menghambat pengembangan karakter dalam jangka waktu yang lama bila belum mendapatkan stat yang di inginkan."
Pengguna Google,2025-04-10 00:34:34,"cuma berharap 1. tombol skip story dan 2. ulang spirall bisa pilih ulang dari fase 1 atau ulang fase 2 doang (kalo harus ulang dari fase 1 melulu habis banyak waktu, apalagi kalo susah banget)"
Pengguna Google,2025-04-10 00:19:25,singkat saja.game yang cukup menakjubkan tetapi bagi hp yang hanya GB 8 ke bawa mending gak usa main game ini takutnya hp kalian gak mampu.bagus game ini👍
Pengguna Google,2025-04-09 23:59:32,kikir
Pengguna Google,2025-04-09 23:49:36,i love lyney
Pengguna Google,2025-04-09 23:03:27,"stupid ini game, kenapa saya dikasih artefak b4 terus? saya lelah, saya menabung 50 resin dan sekarang habis sisa 15 karna mencari artefak tapi hanya dapat b4 itu sama aja bohong, dasar dummy ini game. saya kasih bintang 2 karna chr b5 saya banyak, makasih genshin"
